,PROTEIN
133,ORF1a polyprotein
5295,ORF1a polyprotein
10043,surface glycoprotein
509,ORF1a polyprotein
4991,ORF1ab polyprotein
8942,surface glycoprotein
1690,ORF1a polyprotein
3596,ORF1a polyprotein
10416,nucleocapsid phosphoprotein
2193,ORF1a polyprotein
2289,ORF1ab polyprotein
9696,ORF1ab polyprotein
3723,ORF1ab polyprotein
3496,surface glycoprotein
1676,ORF1ab polyprotein
7940,ORF1ab polyprotein
2606,ORF1a polyprotein
6524,ORF1ab polyprotein
939,ORF1ab polyprotein
10954,ORF1a polyprotein
5869,nucleocapsid phosphoprotein
10277,surface glycoprotein
347,ORF1ab polyprotein
7306,ORF1ab polyprotein
1136,ORF1a polyprotein
11242,surface glycoprotein
3627,ORF1ab polyprotein
10856,ORF1a polyprotein
1547,surface glycoprotein
5791,surface glycoprotein
369,ORF1a polyprotein
644,ORF1a polyprotein
1951,ORF1ab polyprotein
3713,ORF1ab polyprotein
6172,nucleocapsid phosphoprotein
2934,ORF1a polyprotein
8591,ORF1ab polyprotein
4233,ORF1ab polyprotein
8254,ORF1ab polyprotein
11915,ORF1ab polyprotein
3837,ORF1ab polyprotein
8155,ORF1ab polyprotein
9831,ORF1ab polyprotein
1427,ORF1a polyprotein
23,ORF1a polyprotein
6634,ORF1ab polyprotein
7218,ORF1a polyprotein
4278,ORF1a polyprotein
10784,ORF1ab polyprotein
7756,nucleocapsid phosphoprotein
12746,nucleocapsid phosphoprotein
6311,ORF1a polyprotein
11871,ORF1a polyprotein
10914,ORF1a polyprotein
10806,ORF1a polyprotein
4929,ORF1ab polyprotein
5041,ORF1ab polyprotein
323,ORF1a polyprotein
6347,nucleocapsid phosphoprotein
4530,ORF1ab polyprotein
9594,ORF1ab polyprotein
5526,ORF1a polyprotein
11969,ORF3 protein
5103,ORF1ab polyprotein
2528,ORF1ab polyprotein
10707,nucleocapsid phosphoprotein
8229,ORF1a polyprotein
1518,ORF1a polyprotein
12738,ORF3 protein
6901,ORF1a polyprotein
2743,surface glycoprotein
1242,ORF1a polyprotein
9889,surface glycoprotein
7591,ORF1ab polyprotein
6615,ORF1ab polyprotein
5712,ORF1a polyprotein
1520,ORF1ab polyprotein
583,ORF1ab polyprotein
5661,ORF3a protein
11824,ORF1a polyprotein
11327,surface glycoprotein
8857,ORF1ab polyprotein
10296,ORF1ab polyprotein
7340,ORF1ab polyprotein
10519,ORF1a polyprotein
4891,ORF1a polyprotein
11154,ORF1ab polyprotein
6895,ORF1ab polyprotein
8830,ORF1a polyprotein
13086,ORF4b protein
4588,ORF1a polyprotein
3026,ORF1ab polyprotein
11541,surface glycoprotein
12451,membrane glycoprotein
2432,surface glycoprotein
11077,ORF1ab polyprotein
10045,ORF1ab polyprotein
11458,ORF5 protein
6235,surface glycoprotein
2865,ORF1a polyprotein
5472,ORF1ab polyprotein
4757,ORF1a polyprotein
7452,ORF1ab polyprotein
2649,ORF1ab polyprotein
3409,ORF1ab polyprotein
9683,ORF1ab polyprotein
467,ORF1a polyprotein
762,ORF1ab polyprotein
8565,ORF1ab polyprotein
3170,ORF1a polyprotein
11869,nucleocapsid phosphoprotein
12518,ORF3 protein
6792,ORF1a polyprotein
9030,ORF1a polyprotein
9328,ORF1ab polyprotein
118,ORF1ab polyprotein
2149,ORF1ab polyprotein
6484,ORF3a protein
1930,ORF1ab polyprotein
2737,ORF1a polyprotein
6871,ORF1ab polyprotein
12474,nucleocapsid phosphoprotein
2955,surface glycoprotein
695,ORF1a polyprotein
5838,ORF1ab polyprotein
1741,ORF1ab polyprotein
12938,surface glycoprotein
1729,ORF1a polyprotein
6448,nucleocapsid phosphoprotein
11855,nucleocapsid phosphoprotein
1976,nucleocapsid phosphoprotein
10229,ORF8 protein
12467,ORF1a polyprotein
7111,ORF1a polyprotein
1769,ORF1a polyprotein
12786,ORF1ab polyprotein
1389,ORF1ab polyprotein
6612,ORF1ab polyprotein
11281,surface glycoprotein
7780,ORF1a polyprotein
2774,surface glycoprotein
3640,ORF1a polyprotein
5890,ORF1ab polyprotein
11162,ORF1ab polyprotein
3831,ORF1ab polyprotein
88,ORF1ab polyprotein
6780,ORF1ab polyprotein
12907,ORF1ab polyprotein
7203,ORF1ab polyprotein
5077,ORF1a polyprotein
9538,ORF1a polyprotein
7257,ORF1ab polyprotein
5095,ORF1ab polyprotein
2437,ORF1ab polyprotein
2135,ORF1ab polyprotein
46,ORF1ab polyprotein
913,ORF1a polyprotein
8821,ORF1ab polyprotein
5258,surface glycoprotein
2611,ORF1a polyprotein
8123,ORF1a polyprotein
4886,ORF1ab polyprotein
4131,ORF1ab polyprotein
9746,surface glycoprotein
4366,ORF1a polyprotein
8482,surface glycoprotein
3097,ORF1a polyprotein
3240,surface glycoprotein
11128,ORF1ab polyprotein
12162,ORF1a polyprotein
3567,ORF1a polyprotein
12493,envelope protein
2337,ORF1a polyprotein
6916,surface glycoprotein
9,ORF1a polyprotein
12756,ORF8b protein
9146,surface glycoprotein
10811,ORF1a polyprotein
8552,surface glycoprotein
6037,ORF1a polyprotein
1507,ORF1ab polyprotein
7152,ORF1a polyprotein
11113,ORF1a polyprotein
3478,ORF1a polyprotein
677,ORF1ab polyprotein
5903,ORF1a polyprotein
836,ORF1ab polyprotein
10068,ORF1ab polyprotein
1882,ORF1a polyprotein
6530,ORF1ab polyprotein
12038,ORF1a polyprotein
1521,ORF1a polyprotein
7437,surface glycoprotein
11499,membrane glycoprotein
1185,ORF1ab polyprotein
11172,ORF1a polyprotein
9729,ORF1ab polyprotein
5093,ORF1ab polyprotein
7454,ORF1a polyprotein
2044,ORF1a polyprotein
12160,ORF1a polyprotein
3140,ORF1a polyprotein
9809,ORF1ab polyprotein
7065,ORF1a polyprotein
6568,ORF1ab polyprotein
3136,ORF1ab polyprotein
3877,ORF1a polyprotein
5554,ORF1ab polyprotein
8462,ORF1ab polyprotein
1871,surface glycoprotein
7629,nucleocapsid phosphoprotein
100,ORF1ab polyprotein
7194,surface glycoprotein
6839,ORF1ab polyprotein
5837,ORF1a polyprotein
10014,surface glycoprotein
10268,ORF1ab polyprotein
7855,ORF1ab polyprotein
1959,ORF1a polyprotein
9303,ORF1ab polyprotein
8829,ORF1ab polyprotein
3826,ORF1ab polyprotein
5353,ORF1ab polyprotein
10018,ORF3a protein
8252,ORF1ab polyprotein
1146,ORF1ab polyprotein
10581,ORF1ab polyprotein
511,ORF1a polyprotein
4933,ORF1a polyprotein
7286,ORF1a polyprotein
2773,ORF1a polyprotein
6546,ORF1ab polyprotein
10275,ORF1a polyprotein
77,ORF1ab polyprotein
6967,surface glycoprotein
3035,ORF1ab polyprotein
12591,surface glycoprotein
287,ORF1ab polyprotein
4339,nucleocapsid phosphoprotein
1381,ORF1ab polyprotein
4773,ORF1ab polyprotein
1894,ORF3a protein
12394,surface glycoprotein
5643,ORF7b protein
2629,ORF1a polyprotein
6829,ORF1a polyprotein
9547,ORF1a polyprotein
8328,ORF1ab polyprotein
8358,ORF1ab polyprotein
5317,surface glycoprotein
9592,ORF1a polyprotein
9780,ORF1ab polyprotein
11779,ORF1a polyprotein
1153,ORF1ab polyprotein
3919,ORF1ab polyprotein
5770,nucleocapsid phosphoprotein
4743,surface glycoprotein
2648,ORF1a polyprotein
10616,surface glycoprotein
10469,ORF3a protein
8873,ORF1ab polyprotein
3995,ORF1a polyprotein
146,ORF1a polyprotein
7187,ORF1a polyprotein
2947,ORF1ab polyprotein
11592,ORF4b protein
971,ORF1ab polyprotein
1149,ORF1ab polyprotein
9156,surface glycoprotein
4374,ORF1ab polyprotein
1270,nucleocapsid phosphoprotein
7930,ORF1ab polyprotein
3687,surface glycoprotein
12716,ORF4b protein
8331,ORF1a polyprotein
3319,ORF1ab polyprotein
3413,ORF1a polyprotein
4257,ORF1ab polyprotein
5230,ORF1ab polyprotein
6398,surface glycoprotein
13037,ORF1ab polyprotein
4154,ORF1ab polyprotein
11783,ORF1ab polyprotein
1444,ORF1a polyprotein
2352,ORF1a polyprotein
11975,ORF1a polyprotein
1316,ORF1a polyprotein
3036,ORF1ab polyprotein
12248,ORF1a polyprotein
5755,surface glycoprotein
7222,ORF1ab polyprotein
6940,ORF1ab polyprotein
7397,ORF1ab polyprotein
7962,ORF1ab polyprotein
9316,ORF1a polyprotein
8121,ORF1ab polyprotein
4720,ORF1a polyprotein
12930,ORF8b protein
717,surface glycoprotein
4360,surface glycoprotein
793,ORF1ab polyprotein
11624,ORF1ab polyprotein
3238,ORF1ab polyprotein
7503,ORF1ab polyprotein
3364,ORF1a polyprotein
10588,ORF1a polyprotein
7554,membrane glycoprotein
2823,ORF1a polyprotein
8550,ORF1a polyprotein
4907,ORF1ab polyprotein
8624,ORF1ab polyprotein
1088,ORF1ab polyprotein
144,ORF1ab polyprotein
10773,surface glycoprotein
10635,surface glycoprotein
10506,ORF1a polyprotein
7832,ORF1a polyprotein
2699,ORF1a polyprotein
2123,surface glycoprotein
11932,ORF8b protein
3203,ORF1ab polyprotein
13078,nucleocapsid phosphoprotein
9616,ORF1ab polyprotein
10054,nucleocapsid phosphoprotein
7226,ORF1ab polyprotein
1889,surface glycoprotein
12561,nucleocapsid phosphoprotein
6294,surface glycoprotein
12693,ORF5 protein
10555,ORF1a polyprotein
398,ORF1ab polyprotein
7620,ORF1ab polyprotein
6455,ORF1a polyprotein
10858,ORF1a polyprotein
7600,ORF1a polyprotein
861,ORF1a polyprotein
10947,surface glycoprotein
12609,ORF1a polyprotein
6533,ORF1a polyprotein
5980,ORF1a polyprotein
4595,ORF1a polyprotein
8326,ORF1ab polyprotein
2091,ORF1a polyprotein
6205,surface glycoprotein
5072,ORF1ab polyprotein
6896,ORF1a polyprotein
8275,ORF1a polyprotein
5696,ORF1ab polyprotein
2461,ORF1a polyprotein
5714,nucleocapsid phosphoprotein
9888,ORF1a polyprotein
12713,surface glycoprotein
12261,ORF1a polyprotein
8939,ORF1ab polyprotein
10362,ORF1a polyprotein
11292,surface glycoprotein
7752,ORF1a polyprotein
9719,ORF1ab polyprotein
2252,ORF1ab polyprotein
11654,ORF4b protein
242,ORF1ab polyprotein
9434,ORF1ab polyprotein
5476,ORF1a polyprotein
5489,ORF1a polyprotein
9313,ORF1a polyprotein
10998,ORF1ab polyprotein
10848,ORF1a polyprotein
11648,ORF5 protein
6858,ORF1a polyprotein
1910,ORF1ab polyprotein
12536,ORF3 protein
8154,ORF1a polyprotein
8566,ORF1a polyprotein
4250,ORF1ab polyprotein
4338,ORF1a polyprotein
13093,membrane glycoprotein
7066,ORF1a polyprotein
10278,ORF1a polyprotein
2937,ORF1ab polyprotein
4700,ORF1ab polyprotein
3842,ORF1a polyprotein
9058,ORF3a protein
8909,ORF1ab polyprotein
6897,ORF1ab polyprotein
4009,surface glycoprotein
12341,surface glycoprotein
3472,ORF1ab polyprotein
9521,ORF1a polyprotein
9189,surface glycoprotein
12821,ORF4a protein
8438,surface glycoprotein
801,nucleocapsid phosphoprotein
1360,ORF1a polyprotein
3032,ORF1ab polyprotein
5762,ORF1a polyprotein
8949,ORF1a polyprotein
12870,surface glycoprotein
360,ORF1a polyprotein
13178,ORF1ab polyprotein
352,ORF1a polyprotein
6296,ORF1ab polyprotein
7592,ORF1ab polyprotein
265,ORF1ab polyprotein
5686,ORF3a protein
297,ORF3a protein
8025,ORF1ab polyprotein
10647,ORF1ab polyprotein
5012,ORF1a polyprotein
10205,ORF3a protein
9379,ORF1ab polyprotein
7259,ORF1a polyprotein
1584,ORF1ab polyprotein
13154,membrane glycoprotein
659,ORF1ab polyprotein
2640,ORF1a polyprotein
10532,ORF1a polyprotein
9392,surface glycoprotein
646,ORF1a polyprotein
9356,ORF1ab polyprotein
3315,ORF1ab polyprotein
10703,membrane glycoprotein
3638,ORF1ab polyprotein
6023,ORF1a polyprotein
4163,ORF1ab polyprotein
11258,ORF1ab polyprotein
2621,ORF1ab polyprotein
10961,ORF1ab polyprotein
8029,ORF1ab polyprotein
5168,ORF1a polyprotein
11453,ORF4b protein
7091,ORF1ab polyprotein
9391,surface glycoprotein
8826,ORF1a polyprotein
8764,ORF1a polyprotein
4354,ORF1ab polyprotein
3331,ORF1ab polyprotein
12063,ORF4b protein
5981,ORF1ab polyprotein
12027,ORF4b protein
2131,ORF1ab polyprotein
9190,ORF1ab polyprotein
5958,ORF1ab polyprotein
1999,surface glycoprotein
382,ORF1ab polyprotein
1064,ORF1ab polyprotein
9820,ORF1ab polyprotein
1763,ORF1ab polyprotein
9668,ORF1a polyprotein
8333,ORF1a polyprotein
9786,ORF1a polyprotein
742,ORF1ab polyprotein
1091,ORF1ab polyprotein
10351,surface glycoprotein
93,ORF1a polyprotein
1010,ORF1a polyprotein
2211,ORF1ab polyprotein
1857,surface glycoprotein
12675,ORF3 protein
8896,surface glycoprotein
9829,ORF1a polyprotein
4641,surface glycoprotein
7480,ORF1ab polyprotein
11662,surface glycoprotein
12667,ORF1a polyprotein
2316,nucleocapsid phosphoprotein
9890,nucleocapsid phosphoprotein
1228,ORF1a polyprotein
2638,ORF1ab polyprotein
3316,ORF1a polyprotein
9763,ORF1ab polyprotein
10726,ORF3a protein
6715,ORF1ab polyprotein
8666,surface glycoprotein
337,ORF1a polyprotein
11689,ORF1ab polyprotein
11526,ORF1a polyprotein
7617,ORF1ab polyprotein
3267,ORF1a polyprotein
1180,ORF1ab polyprotein
8598,ORF1ab polyprotein
12986,ORF3 protein
9966,surface glycoprotein
6404,ORF1ab polyprotein
4135,ORF1ab polyprotein
4010,ORF3a protein
9047,ORF1ab polyprotein
7168,ORF1a polyprotein
3262,ORF1ab polyprotein
13163,ORF3a protein
10424,ORF1ab polyprotein
8595,ORF1a polyprotein
12777,surface glycoprotein
189,surface glycoprotein
11313,surface glycoprotein
7586,ORF1a polyprotein
3207,ORF1ab polyprotein
12116,ORF1ab polyprotein
5152,ORF1ab polyprotein
8189,ORF1ab polyprotein
2804,envelope protein
2299,surface glycoprotein
3953,ORF1ab polyprotein
10290,ORF1a polyprotein
7471,ORF1ab polyprotein
411,surface glycoprotein
1770,ORF1a polyprotein
7288,ORF1ab polyprotein
9756,ORF1a polyprotein
3011,ORF1ab polyprotein
769,ORF1a polyprotein
6869,ORF1a polyprotein
11502,ORF1a polyprotein
8420,surface glycoprotein
727,ORF1ab polyprotein
8214,ORF1a polyprotein
13111,surface glycoprotein
9509,ORF1a polyprotein
6273,ORF1a polyprotein
3126,ORF1a polyprotein
10087,ORF1ab polyprotein
1212,ORF1ab polyprotein
6605,ORF1ab polyprotein
10181,nucleocapsid phosphoprotein
10871,ORF1a polyprotein
845,ORF1a polyprotein
3101,surface glycoprotein
2701,ORF1ab polyprotein
2279,surface glycoprotein
6590,ORF1a polyprotein
10783,ORF1ab polyprotein
11559,ORF1ab polyprotein
5280,ORF1a polyprotein
1098,ORF1ab polyprotein
1705,ORF1ab polyprotein
5540,ORF1ab polyprotein
7237,surface glycoprotein
5270,ORF1ab polyprotein
569,ORF1a polyprotein
9884,ORF1a polyprotein
7843,surface glycoprotein
10073,ORF1ab polyprotein
7545,ORF1a polyprotein
3530,ORF1a polyprotein
9200,nucleocapsid phosphoprotein
87,ORF1ab polyprotein
7759,ORF1a polyprotein
12533,envelope protein
10684,ORF1a polyprotein
11230,nucleocapsid phosphoprotein
7886,ORF1ab polyprotein
5416,ORF1ab polyprotein
4738,nucleocapsid phosphoprotein
692,ORF1a polyprotein
7064,ORF1ab polyprotein
9001,membrane glycoprotein
8207,ORF1ab polyprotein
12937,ORF1ab polyprotein
792,ORF1a polyprotein
2815,nucleocapsid phosphoprotein
6138,ORF1a polyprotein
6954,ORF3a protein
12194,ORF1ab polyprotein
1651,ORF1ab polyprotein
10394,ORF1ab polyprotein
7173,ORF1a polyprotein
8097,surface glycoprotein
10402,ORF1ab polyprotein
192,ORF1a polyprotein
874,ORF1ab polyprotein
1540,ORF1ab polyprotein
1908,ORF1a polyprotein
10243,nucleocapsid phosphoprotein
8308,ORF1ab polyprotein
8078,ORF1ab polyprotein
5944,ORF1ab polyprotein
3722,ORF1ab polyprotein
6218,nucleocapsid phosphoprotein
9805,surface glycoprotein
7360,ORF1ab polyprotein
12295,ORF1a polyprotein
10418,surface glycoprotein
4090,ORF1a polyprotein
6651,ORF1a polyprotein
7389,surface glycoprotein
5355,ORF1a polyprotein
8298,ORF1ab polyprotein
8599,ORF1ab polyprotein
12790,ORF5 protein
12487,envelope protein
8172,ORF1ab polyprotein
6420,ORF1ab polyprotein
8625,ORF1a polyprotein
5447,ORF1a polyprotein
6119,ORF1ab polyprotein
2669,ORF1ab polyprotein
6636,ORF1ab polyprotein
650,nucleocapsid phosphoprotein
9733,ORF1ab polyprotein
7068,ORF1ab polyprotein
5647,nucleocapsid phosphoprotein
13191,envelope protein
5363,nucleocapsid phosphoprotein
9304,nucleocapsid phosphoprotein
1203,ORF1a polyprotein
9544,ORF1ab polyprotein
10537,surface glycoprotein
11808,membrane glycoprotein
1171,ORF1ab polyprotein
3110,ORF1ab polyprotein
8031,ORF1a polyprotein
3351,ORF1a polyprotein
3418,surface glycoprotein
8400,surface glycoprotein
1996,ORF1ab polyprotein
11925,ORF1a polyprotein
1337,ORF1a polyprotein
6412,ORF1a polyprotein
8578,ORF1ab polyprotein
1924,ORF1ab polyprotein
8900,ORF1ab polyprotein
3604,ORF1a polyprotein
1415,ORF1a polyprotein
3183,nucleocapsid phosphoprotein
9470,ORF8 protein
379,ORF1a polyprotein
12458,ORF3 protein
13075,ORF1ab polyprotein
4888,ORF1ab polyprotein
2096,ORF1ab polyprotein
1704,ORF1ab polyprotein
7154,ORF1ab polyprotein
12303,ORF1ab polyprotein
2385,surface glycoprotein
2455,ORF1a polyprotein
2306,ORF1ab polyprotein
3169,ORF1ab polyprotein
2553,ORF1ab polyprotein
5511,ORF1ab polyprotein
4528,ORF1ab polyprotein
4451,ORF1ab polyprotein
11436,ORF1ab polyprotein
5904,ORF1a polyprotein
12779,ORF1ab polyprotein
11235,ORF3a protein
8071,ORF1ab polyprotein
8748,ORF1ab polyprotein
3719,ORF1a polyprotein
8349,ORF1ab polyprotein
13176,ORF3a protein
3395,ORF1ab polyprotein
4197,ORF1a polyprotein
1467,ORF1ab polyprotein
952,ORF1a polyprotein
3967,ORF1a polyprotein
6797,nucleocapsid phosphoprotein
12198,nucleocapsid phosphoprotein
2597,ORF1ab polyprotein
2351,ORF1ab polyprotein
406,ORF1ab polyprotein
10549,ORF1ab polyprotein
1503,ORF1ab polyprotein
3896,ORF1a polyprotein
6543,ORF1ab polyprotein
7315,ORF1a polyprotein
4890,ORF1ab polyprotein
8963,ORF1ab polyprotein
6183,ORF1ab polyprotein
2867,ORF1ab polyprotein
10162,ORF1a polyprotein
4526,ORF1ab polyprotein
4114,ORF3a protein
9640,surface glycoprotein
8691,surface glycoprotein
3166,ORF1ab polyprotein
11127,ORF1ab polyprotein
9044,nucleocapsid phosphoprotein
9063,ORF1ab polyprotein
1544,ORF1ab polyprotein
12125,nucleocapsid phosphoprotein
2570,ORF1a polyprotein
3160,ORF1ab polyprotein
2045,surface glycoprotein
5804,ORF1ab polyprotein
8286,ORF1ab polyprotein
8366,ORF1a polyprotein
9429,ORF1a polyprotein
9209,ORF1ab polyprotein
2684,ORF1ab polyprotein
2144,ORF1ab polyprotein
1365,surface glycoprotein
2064,ORF1a polyprotein
5959,ORF1a polyprotein
10974,surface glycoprotein
6573,ORF1ab polyprotein
7261,ORF1ab polyprotein
2704,nucleocapsid phosphoprotein
942,ORF1a polyprotein
6161,ORF1ab polyprotein
1962,ORF1ab polyprotein
2832,ORF1ab polyprotein
10670,ORF1a polyprotein
4456,ORF1ab polyprotein
9552,surface glycoprotein
4621,ORF1a polyprotein
1841,ORF1ab polyprotein
4358,ORF1ab polyprotein
9020,ORF1ab polyprotein
314,ORF1a polyprotein
4893,ORF1ab polyprotein
12258,ORF1ab polyprotein
6657,ORF1ab polyprotein
5429,ORF1ab polyprotein
6759,ORF1ab polyprotein
1695,surface glycoprotein
796,ORF1a polyprotein
9351,ORF1ab polyprotein
7931,ORF1ab polyprotein
1422,ORF1ab polyprotein
8723,surface glycoprotein
5610,ORF1ab polyprotein
12128,ORF3 protein
10212,ORF1ab polyprotein
5868,ORF1ab polyprotein
12848,ORF1a polyprotein
7686,ORF1ab polyprotein
2122,ORF1ab polyprotein
6029,ORF1ab polyprotein
11603,surface glycoprotein
2763,ORF1ab polyprotein
10089,ORF1a polyprotein
625,ORF1ab polyprotein
994,ORF1ab polyprotein
7650,ORF1a polyprotein
5756,surface glycoprotein
9978,nucleocapsid phosphoprotein
9299,ORF1ab polyprotein
6815,ORF1ab polyprotein
2067,surface glycoprotein
7149,ORF1a polyprotein
8480,nucleocapsid phosphoprotein
12201,surface glycoprotein
8332,ORF1a polyprotein
4309,ORF1a polyprotein
5192,ORF1ab polyprotein
3608,ORF1ab polyprotein
11542,ORF1a polyprotein
2448,ORF1ab polyprotein
711,ORF1a polyprotein
2706,ORF1a polyprotein
5650,ORF1ab polyprotein
12389,surface glycoprotein
1017,ORF1ab polyprotein
3211,ORF8 protein
6154,surface glycoprotein
638,ORF1ab polyprotein
7717,ORF1a polyprotein
1719,surface glycoprotein
10361,ORF1ab polyprotein
10304,membrane glycoprotein
25,ORF1ab polyprotein
3438,nucleocapsid phosphoprotein
5197,ORF1a polyprotein
5766,ORF1ab polyprotein
2500,ORF1ab polyprotein
2028,surface glycoprotein
10332,surface glycoprotein
71,ORF1ab polyprotein
135,ORF1ab polyprotein
6528,ORF1a polyprotein
5801,ORF1ab polyprotein
11353,ORF5 protein
12684,ORF1a polyprotein
9784,ORF1ab polyprotein
8800,ORF1ab polyprotein
12632,ORF1a polyprotein
6561,ORF1ab polyprotein
143,ORF3a protein
5064,ORF1a polyprotein
12514,surface glycoprotein
9921,ORF1a polyprotein
7037,surface glycoprotein
2141,ORF1ab polyprotein
3311,ORF1ab polyprotein
9140,ORF1ab polyprotein
8696,ORF1ab polyprotein
12206,ORF4b protein
11341,ORF1ab polyprotein
378,ORF1a polyprotein
12649,surface glycoprotein
9836,ORF1a polyprotein
9649,ORF1a polyprotein
1387,ORF1a polyprotein
4093,ORF1ab polyprotein
3805,ORF1ab polyprotein
2527,ORF1ab polyprotein
4485,ORF1a polyprotein
2921,ORF1ab polyprotein
11885,surface glycoprotein
12722,ORF8b protein
8520,ORF1ab polyprotein
11762,ORF1ab polyprotein
6697,ORF1ab polyprotein
3022,ORF1a polyprotein
1218,ORF1a polyprotein
4260,ORF1ab polyprotein
9117,surface glycoprotein
3559,ORF1ab polyprotein
9483,ORF1ab polyprotein
8317,ORF1ab polyprotein
6608,ORF7a protein
7533,ORF1ab polyprotein
10675,ORF1ab polyprotein
6077,ORF1ab polyprotein
1418,ORF1a polyprotein
4998,ORF1ab polyprotein
6243,ORF1ab polyprotein
13003,ORF8b protein
7786,nucleocapsid phosphoprotein
12042,ORF1ab polyprotein
12018,ORF1a polyprotein
4188,ORF1ab polyprotein
6122,ORF1ab polyprotein
7347,ORF1a polyprotein
12989,ORF4a protein
3520,ORF1ab polyprotein
7626,ORF1ab polyprotein
1090,ORF1ab polyprotein
7667,ORF1a polyprotein
1398,ORF1a polyprotein
8793,ORF1ab polyprotein
11080,ORF8 protein
3484,ORF1ab polyprotein
95,ORF1ab polyprotein
10595,ORF1a polyprotein
990,ORF1ab polyprotein
12098,ORF1a polyprotein
5232,ORF1a polyprotein
405,ORF1a polyprotein
5427,ORF1ab polyprotein
8139,ORF1a polyprotein
5431,ORF1ab polyprotein
10630,surface glycoprotein
1233,ORF1ab polyprotein
3591,ORF1ab polyprotein
12276,ORF4b protein
2478,ORF1ab polyprotein
8205,ORF1a polyprotein
5109,ORF1ab polyprotein
2566,ORF1a polyprotein
12019,ORF1ab polyprotein
2267,surface glycoprotein
5331,ORF1a polyprotein
4906,ORF1ab polyprotein
1051,ORF1ab polyprotein
9244,ORF1a polyprotein
5518,ORF1a polyprotein
2315,ORF1ab polyprotein
11914,surface glycoprotein
6837,ORF1a polyprotein
9205,ORF1a polyprotein
4107,ORF1ab polyprotein
4993,ORF1ab polyprotein
5288,ORF1ab polyprotein
11563,surface glycoprotein
1869,ORF1a polyprotein
7163,ORF1a polyprotein
947,ORF1a polyprotein
12228,surface glycoprotein
7131,ORF1a polyprotein
